Sr_no,Age,Gender,EmploymentStatus,Monthly Household Income,Household Size,Current Residential Area,Type of Residence,Current Residence Duration,Factors Influencing Residential Choice,Transportation Mode,Average Commute Time_1way,Distance traveled_1w,Average weekday trips per person,Travel Purpose,Factors influencing transportation choice
423,26-35 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",5,Fringe,Row House ,3-5 Years ,"Housing affordability , Access to public transportation , Quality of schools/educational institutions , Proximity to family/friends ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
424,46-55 Years ,Female ,Business ,"Above ₹75,000 ",6,Fringe,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Neighborhood safety ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
425,56-65 Years ,Male ,Business ,"Above ₹75,000 ",6,Fringe,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
426,56-65 Years ,Male ,Business ,"Above ₹75,000 ",7,Fringe,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
427,26-35 Years ,Female ,Employed Full-Time,"₹50,001 - ₹75,000 ",3,Fringe,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Leisure ,"Cost , Travel time, Convenience , Availability of options, Safety "
428,18-25 Years ,Female ,Student ,"₹30,001 - ₹50,000 ",8,Fringe,Apartment/ flat ,3-5 Years ,"Housing affordability , Neighborhood safety , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Walking,15-30 minutes,1-5 km ,1-2 trips ,Leisure ,"Cost , Travel time, Convenience , Safety "
429,18-25 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",7,Fringe,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,4-5 trips ,Work,"Convenience , Availability of options, Unavailability of Public Transport , Availability of Parking , Going to multiple locations in same trip"
430,36-45 Years ,Female ,Employed Part-Time ,"₹30,001 - ₹50,000 ",4,Fringe,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Environmental quality (air quality, noise levels) ",Public Transit (City Bus) ,15-30 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
431,26-35 Years ,Female ,Student ,"₹15,000 - ₹30,000",5,Fringe,Independent House ,3-5 Years ,Access to public transportation ,Public Transit (City Bus) ,15-30 minutes,5-10 km,4-5 trips ,Education,Environmental impact 
432,18-25 Years ,Male ,Student ,"₹50,001 - ₹75,000 ",4,Fringe,Independent House ,More than 10 years ,Housing affordability ,Personal Vehicle (Bike),Less than 10 minutes ,1-5 km ,1-2 trips ,Education,"Travel time, Safety "
433,36-45 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",5,Fringe,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Health,"Cost , Travel time, Convenience , Availability of options, Safety "
434,46-55 Years ,Female ,Business ,"Above ₹75,000 ",4,Fringe,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Shopping ,"Cost , Travel time, Convenience , Safety "
435,46-55 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",4,Fringe,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Environmental impact , Availability of Parking , Safety "
436,26-35 Years ,Male ,Employed Full-Time,"₹30,001 - ₹50,000 ",4,Fringe,Independent House ,5-10 Years ,"Proximity to workplace , Quality of schools/educational institutions , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience "
437,46-55 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",4,Fringe,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Health,"Cost , Travel time, Convenience , Availability of options, Safety "
438,36-45 Years ,Female ,Homemaker,"Above ₹75,000 ",4,Fringe,Independent House ,More than 10 years ,"Proximity to workplace , Neighborhood safety , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),15-30 minutes,5-10 km,1-2 trips ,Work,"Cost , Travel time, Convenience , Safety "
439,36-45 Years ,Male ,Employed Part-Time ,"₹30,001 - ₹50,000 ",4,Fringe,Independent House ,More than 10 years ,"Proximity to workplace , Neighborhood safety ",Cycle  ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
440,18-25 Years ,Female ,Student ,"Above ₹75,000 ",4,Fringe,Apartment/ flat ,More than 10 years ,"Housing affordability , Access to public transportation , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience "
441,56-65 Years ,Male ,Business ,"Above ₹75,000 ",7,Fringe,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Leisure ,"Cost , Travel time, Convenience , Availability of options"
442,26-35 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",2,Fringe,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Leisure ,"Cost , Travel time, Convenience , Availability of options, Safety "
443,26-35 Years ,Female ,Employed Part-Time ,"₹50,001 - ₹75,000 ",6,Fringe,Apartment/ flat ,Less than 1 year,"Proximity to workplace , Housing affordability , Access to public transportation ",Public Transit (City Bus) ,More than 45 minutes ,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
444,36-45 Years ,Female ,Homemaker,"Above ₹75,000 ",5,Fringe,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,2-3 trips ,Education,"Cost , Travel time, Convenience , Availability of options, Safety "
445,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Fringe,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
446,46-55 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",6,Fringe,Apartment/ flat ,5-10 Years ,"Housing affordability , Access to public transportation , Neighborhood safety , Proximity to family/friends ",Public Transit (City Bus) ,30-45 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time"
447,46-55 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",4,Fringe,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
448,18-25 Years ,Female ,Student ,"Above ₹75,000 ",5,Fringe,Independent House ,5-10 Years ,"Housing affordability , Neighborhood safety , Proximity to family/friends ",Public Transit (City Bus) ,30-45 minutes,5-10 km,2-3 trips ,Education,"Cost , Travel time"
449,56-65 Years ,Male ,Business ,"Above ₹75,000 ",5,Fringe,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Environmental impact , Safety "
450,46-55 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",3,Fringe,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
451,26-35 Years ,Female ,Employed Full-Time,"₹50,001 - ₹75,000 ",4,Fringe,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
452,26-35 Years ,Male ,Employed Part-Time ,"₹50,001 - ₹75,000 ",3,Fringe,Independent House ,3-5 Years ,"Proximity to workplace , Housing affordability ",Personal Vehicle (Bike),15-30 minutes,1-5 km ,2-3 trips ,Work,"Travel time, Convenience , Availability of options"
453,56-65 Years ,Male ,Business ,"Above ₹75,000 ",5,Fringe,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,2-3 trips ,Shopping ,"Cost , Travel time, Convenience , Availability of options, Safety "
454,56-65 Years ,Female ,Business ,"Above ₹75,000 ",5,Fringe,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,2-3 trips ,Shopping ,"Cost , Travel time, Convenience , Availability of options, Safety "
455,18-25 Years ,Male ,Student ,"₹15,000 - ₹30,000",4,Fringe,Independent House ,5-10 Years ,"Quality of schools/educational institutions , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Autorickshaw/ Cab ,15-30 minutes,1-5 km ,1-2 trips ,Education,"Travel time, Convenience "
456,26-35 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",2,Fringe,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Shopping ,"Cost , Travel time, Convenience , Availability of options, Safety "
457,46-55 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",6,Fringe,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of Parking "
458,36-45 Years ,Female ,Employed Full-Time,"₹30,001 - ₹50,000 ",4,Fringe,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
459,46-55 Years ,Female ,Business ,"Above ₹75,000 ",4,Fringe,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
460,26-35 Years ,Male ,Employed Part-Time ,"₹15,000 - ₹30,000",4,Fringe,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Proximity to family/friends ",Cycle  ,15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience "
461,36-45 Years ,Male ,Unemployed,"₹15,000 - ₹30,000",6,Fringe,Slum Area ,5-10 Years ,"Housing affordability , Access to public transportation , Quality of schools/educational institutions , Proximity to family/friends ",Public Transit (City Bus) ,30-45 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
462,36-45 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",5,Fringe,Independent House ,3-5 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Car) ,15-30 minutes,More than 15 km,1-2 trips ,Work,"Cost , Convenience , Availability of Parking , Safety "
463,46-55 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",7,Fringe,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
464,36-45 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",4,Fringe,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,1-2 trips ,Work,"Cost , Convenience , Availability of Parking , Safety "
465,56-65 Years ,Male ,Business ,"Above ₹75,000 ",5,Fringe,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,2-3 trips ,Shopping ,"Cost , Travel time, Convenience , Availability of options, Safety "
466,36-45 Years ,Male ,Business ,"₹50,001 - ₹75,000 ",5,Fringe,Independent House ,3-5 Years ,"Proximity to workplace , Housing affordability , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,15-30 minutes,More than 15 km,1-2 trips ,Work,"Cost , Travel time, Convenience , Availability of Parking "
467,36-45 Years ,Male ,Business ,"Above ₹75,000 ",4,Fringe,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
468,26-35 Years ,Female ,Employed Full-Time,"₹30,001 - ₹50,000 ",5,Fringe,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,15-30 minutes,More than 15 km,1-2 trips ,Work,"Cost , Travel time, Convenience , Availability of Parking , Safety "
469,26-35 Years ,Female ,Employed Full-Time,"₹50,001 - ₹75,000 ",2,Fringe,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,2-3 trips ,Leisure ,"Cost , Travel time, Convenience , Availability of options"
470,36-45 Years ,Female ,Business ,"₹50,001 - ₹75,000 ",5,Fringe,Independent House ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Personal Vehicle (Car) ,15-30 minutes,More than 15 km,1-2 trips ,Work,"Cost , Travel time, Convenience , Availability of Parking "
471,18-25 Years ,Female ,Employed Part-Time ,"₹30,001 - ₹50,000 ",6,Fringe,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,1-2 trips ,Work,"Cost , Travel time, Convenience , Availability of Parking "
472,36-45 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",3,Fringe,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,2-3 trips ,Health,"Cost , Travel time, Convenience , Availability of options, Safety "
473,26-35 Years ,Female ,Employed Full-Time,"₹30,001 - ₹50,000 ",5,Fringe,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,1-2 trips ,Work,"Cost , Travel time, Convenience , Availability of Parking "
474,36-45 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",5,Fringe,Row House ,3-5 Years ,"Proximity to workplace , Housing affordability , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,1-2 trips ,Work,"Cost , Travel time, Convenience , Availability of Parking "
475,36-45 Years ,Female ,Homemaker,"Above ₹75,000 ",4,Fringe,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Autorickshaw/ Cab ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
476,26-35 Years ,Female ,Homemaker,"₹30,001 - ₹50,000 ",5,Fringe,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Neighborhood safety ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of Parking "
